product_id,main_camera_mp (MP),wide_camera_mp (MP),tele_camera_mp (MP),macro_camera_mp (MP),wide_camera_aperture (f/),tele_camera_aperture (f/),macro_camera_aperture (f/)
76439,50.0,12.0,50.0,2.0,1.0,1.0,1.75
59254,48.0,12.0,2.0,2.0,1.0,1.0,1.75
59294,200.0,10.0,2.0,2.0,1.0,1.0,1.75
59257,48.0,48.0,12.0,2.0,1.6,1.0,1.75
59258,48.0,48.0,12.0,2.0,1.6,1.0,1.75
43151,48.0,5.0,2.0,2.0,1.78,2.2,1.75
65919,8.0,5.0,2.0,2.0,1.0,2.2,1.75
53706,8.0,5.0,2.0,2.0,1.0,1.0,1.75
74613,8.0,5.0,2.0,2.0,1.0,1.0,1.75
36242,8.0,12.0,2.0,2.0,1.6,1.0,1.75
76443,50.0,12.0,50.0,2.0,1.0,2.0,1.75
43152,8.0,5.0,2.0,2.0,1.0,1.0,1.75
82082,8.0,5.0,2.0,2.0,1.0,1.0,1.75
45053,8.0,5.0,2.0,2.0,1.0,1.0,1.75
65920,8.0,5.0,2.0,2.0,1.0,1.0,1.75
57499,8.0,5.0,10.0,2.0,1.0,1.0,1.75
57497,8.0,5.0,2.0,2.0,1.0,1.0,1.75
43150,48.0,5.0,2.0,2.0,1.0,2.2,1.75
67006,8.0,5.0,2.0,2.0,1.0,1.0,1.75
73651,8.0,5.0,2.0,2.0,1.7,1.0,2.2
66374,8.0,5.0,2.0,2.0,1.0,1.0,1.75
77853,8.0,5.0,2.0,2.0,1.0,1.0,1.75
85247,8.0,5.0,2.0,2.0,1.0,1.0,1.75
57154,12.0,5.0,2.0,2.0,1.0,1.0,1.75
72332,8.0,5.0,2.0,2.0,1.0,1.0,1.75
72303,8.0,5.0,2.0,2.0,1.0,1.0,1.75
80473,8.0,5.0,2.0,2.0,1.0,1.0,1.75
67378,8.0,5.0,2.0,2.0,1.0,1.0,1.75
87242,8.0,5.0,2.0,2.0,1.0,1.0,1.75
52291,8.0,5.0,2.0,2.0,1.0,1.0,1.75
82062,108.0,5.0,2.0,2.0,1.0,1.0,2.0
53193,8.0,12.0,2.0,2.0,1.0,1.0,1.75
45051,8.0,5.0,2.0,2.0,1.0,1.0,1.75
51996,8.0,5.0,2.0,2.0,1.0,1.0,1.75
16520,8.0,12.0,2.0,2.0,1.8,1.0,1.75
58612,8.0,5.0,2.0,2.0,1.0,1.0,1.75
90116,48.0,48.0,12.0,2.0,1.6,1.0,1.75
68861,48.0,5.0,2.0,2.0,1.0,2.2,1.75
82256,8.0,5.0,2.0,2.0,1.0,1.0,1.75
83010,8.0,50.0,2.0,2.0,1.0,1.0,1.75
53270,8.0,5.0,2.0,2.0,1.0,1.0,1.75
66467,12.0,5.0,2.0,2.0,1.0,1.0,1.75
31495,8.0,12.0,2.0,2.0,1.5,1.0,1.75
59255,48.0,12.0,2.0,2.0,1.0,1.0,1.75
70839,8.0,5.0,2.0,2.0,1.0,1.0,1.75
56076,8.0,5.0,2.0,2.0,1.0,1.0,1.75
53269,8.0,5.0,2.0,5.0,1.0,1.0,1.75
68863,48.0,5.0,2.0,2.0,1.0,2.2,1.75
59293,8.0,5.0,2.0,2.0,1.0,1.0,1.75
53194,50.0,5.0,2.0,2.0,1.0,1.0,1.75
90118,48.0,48.0,12.0,2.0,1.6,1.0,1.75
52305,12.0,12.0,2.0,2.0,1.5,1.0,1.75
67555,50.0,5.0,2.0,2.0,1.0,1.0,2.4
83012,8.0,50.0,2.0,2.0,1.0,1.0,1.75
