product_id,megapixels (MP),wide_camera_mp (f/)
76439,32.0,2.0
59254,12.0,1.9
59294,12.0,2.2
59257,12.0,1.9
59258,12.0,1.9
43151,12.0,1.9
65919,10.0,2.2
53706,13.0,1.8
74613,10.0,1.8
36242,12.0,2.2
76443,32.0,2.0
43152,12.0,1.9
82082,13.0,2.0
45053,12.0,1.9
65920,0.0,2.2
57499,12.0,1.8
57497,12.0,1.8
43150,12.0,1.9
67006,12.0,1.9
73651,16.0,1.8
66374,16.0,1.8
77853,16.0,1.8
85247,5.0,1.8
57154,10.0,1.8
72332,8.0,1.8
72303,16.0,1.8
80473,50.0,2.4
67378,16.0,1.8
87242,5.0,1.8
52291,5.0,2.2
82062,13.0,2.0
53193,32.0,1.8
45051,12.0,1.9
51996,12.0,1.9
16520,12.0,2.2
58612,32.0,2.4
90116,12.0,1.9
68861,12.0,1.9
82256,32.0,2.2
83010,32.0,1.8
53270,13.0,1.8
66467,10.0,1.8
31495,12.0,1.9
59255,12.0,1.9
70839,8.0,2.0
56076,10.0,1.8
53269,13.0,2.2
68863,12.0,1.9
59293,12.0,2.2
53194,8.0,2.0
90118,12.0,1.9
52305,12.0,1.9
67555,13.0,2.0
83012,32.0,1.8
68866,12.0,1.9
68859,12.0,1.9
60621,32.0,2.0
64832,0.0,2.0
72334,32.0,1.8
72337,50.0,1.8
62299,20.0,2.0
72749,12.0,2.2
72333,32.0,2.2
36485,12.0,2.2
54288,12.0,2.2
24746,12.0,2.2
88564,0.0,2.0
18388,12.0,2.2
90478,8.0,1.8
72748,12.0,2.2
88446,8.0,1.8
60617,32.0,1.8
72328,8.0,2.0
86450,8.0,1.8
72750,12.0,2.2
42973,40.0,2.2
83041,12.0,1.8
73016,8.0,2.05
60880,32.0,2.2
44936,13.0,2.45
75815,32.0,2.2
89225,8.0,1.8
72751,12.0,2.2
51990,12.0,1.9
27473,12.0,2.2
72331,32.0,1.8
68864,12.0,1.9
72211,8.0,2.0
73942,32.0,2.4
75812,32.0,2.2
60401,8.0,1.8
57153,10.0,2.2
42337,32.0,2.4
33487,12.0,2.2
84107,10.0,1.8
64877,8.0,1.8
84613,10.0,2.2
55753,8.0,1.8
71982,8.0,2.0
74864,0.0,1.8
64927,8.0,2.0
73650,5.0,1.8
91445,5.0,2.2
83040,8.0,1.8
72330,8.0,2.0
62717,5.0,2.2
59595,13.0,2.0
67726,50.0,2.0
86449,0.0,1.8
58610,32.0,2.4
74179,0.0,2.22
33626,16.0,2.4
63068,16.0,2.45
59734,20.0,2.2
79120,5.0,1.8
82889,50.0,1.8
61508,16.0,2.4
87123,5.0,1.8
77301,32.0,2.2
84612,10.0,2.2
29796,20.0,2.5
73771,8.0,1.8
90117,12.0,1.9
36486,12.0,2.2
33627,12.0,1.8
56698,8.0,1.8
78197,5.0,2.2
64928,8.0,2.0
92113,12.0,1.9
51797,8.0,2.0
58855,8.0,1.8
42153,32.0,2.2
88459,5.0,1.8
60927,8.0,2.0
66832,8.0,2.0
68168,8.0,2.0
79220,32.0,2.0
84614,0.0,2.2
25863,12.0,2.2
90115,12.0,1.9
54152,8.0,2.0
59593,12.0,2.0
86448,0.0,1.8
79802,16.0,1.8
90114,12.0,1.9
83931,8.0,1.8
62088,8.0,2.0
90112,12.0,1.9
17018,32.0,2.4
59736,32.0,2.4
49374,16.0,2.4
79064,2.0,1.8
50676,32.0,2.0
85820,5.0,1.8
80254,8.0,2.0
90675,8.0,1.8
86542,5.0,1.8
52293,5.0,1.8
42974,40.0,2.2
90119,12.0,1.9
44939,32.0,2.4
91339,5.0,2.2
28517,4.0,1.8
64828,5.0,1.8
90120,12.0,1.9
63898,32.0,2.5
53189,5.0,2.2
39195,32.0,2.4
72735,0.0,2.22
64066,5.0,2.2
48952,10.0,2.4
82236,16.0,2.45
79801,8.0,1.8
90113,12.0,1.9
54484,5.0,1.8
36639,20.0,2.24
79219,8.0,2.0
50751,5.0,1.8
74096,13.0,2.2
50350,32.0,2.4
89100,5.0,2.2
25864,12.0,2.2
33485,12.0,2.2
44930,12.0,1.8
62296,20.0,2.0
46352,32.0,2.2
69512,8.0,1.8
36499,12.0,2.2
27451,12.0,2.2
32364,40.0,2.2
67556,13.0,2.2
44342,12.0,2.2
39188,16.0,2.0
51997,12.0,1.9
36243,12.0,2.2
51999,12.0,1.9
39411,20.0,1.8
55754,12.0,2.2
68862,12.0,1.9
65313,10.0,2.2
35033,16.0,2.45
49745,32.0,2.0
65638,13.0,2.45
71941,10.0,1.8
42019,16.0,2.5
52306,12.0,1.9
30746,20.0,1.8
38610,10.0,1.8
61511,16.0,2.45
60676,8.0,1.8
32667,16.0,2.5
26230,32.0,2.0
36492,12.0,2.2
49381,20.0,1.8
49746,32.0,2.4
41145,16.0,2.4
33630,32.0,1.8
35034,16.0,2.45
49793,32.0,2.0
62238,16.0,1.8
25217,10.0,2.2
41493,32.0,2.4
27478,12.0,2.2
44533,20.0,2.45
68867,12.0,1.9
57237,5.0,1.8
42898,13.0,2.5
32366,10.0,2.2
75775,5.0,1.8
33640,8.0,2.2
33644,13.0,2.2
42339,20.0,2.4
50348,12.0,1.8
51995,12.0,1.9
61666,0.0,2.22
73396,16.0,2.0
35920,20.0,1.8
57320,32.0,1.8
57372,12.0,1.8
84464,16.0,1.8
82067,16.0,1.8
