product_id,megapixels (MP),secondary_megapixels (MP),wide_camera_mp (f/),macro_camera_mp (radian)
59254,12,N/A,1.9,N/A
76439,32,N/A,2,80
59294,12,N/A,2.2,N/A
59257,12,N/A,1.9,N/A
59258,12,N/A,1.9,N/A
65919,10,4,2.2,N/A
43151,12,N/A,1.9,N/A
74613,10,N/A,N/A,N/A
53706,13,N/A,N/A,N/A
76443,32,N/A,2,80
36242,12,N/A,2.2,N/A
43152,12,N/A,1.9,N/A
45053,12,N/A,1.9,N/A
82082,13,N/A,2.0,N/A
65920,0,N/A,2.2,N/A
57499,12,N/A,N/A,N/A
43150,12,N/A,1.9,N/A
67006,12,N/A,1.9,N/A
57497,12,N/A,N/A,N/A
66374,16,N/A,N/A,N/A
73651,16,N/A,N/A,N/A
72332,8,N/A,N/A,N/A
85247,5,N/A,N/A,N/A
87242,5,N/A,N/A,N/A
67378,16,N/A,N/A,N/A
77853,16,N/A,N/A,N/A
72303,16,N/A,N/A,N/A
82062,13,N/A,2,N/A
52291,5,N/A,2.2,N/A
80473,50,N/A,2.4,N/A
16520,12,N/A,2.2,N/A
51996,12,N/A,1.9,N/A
57154,10,N/A,N/A,N/A
53193,32,N/A,N/A,N/A
59255,12,N/A,1.9,N/A
68861,12,N/A,1.9,N/A
90116,12,N/A,1.9,N/A
82256,32,N/A,2.2,N/A
83012,32,N/A,N/A,N/A
56076,10,N/A,N/A,N/A
31495,12,N/A,1.9,N/A
58612,32,N/A,2.4,N/A
59293,12,N/A,2.2,N/A
66467,10,N/A,N/A,N/A
83010,32,N/A,N/A,N/A
68863,12,N/A,1.9,N/A
53270,13,N/A,N/A,N/A
70839,8,N/A,2.0,N/A
53194,8,N/A,2.0,N/A
52305,12,N/A,1.9,N/A
90118,12,N/A,1.9,N/A
53269,13,N/A,2.2,N/A
68866,12,N/A,1.9,N/A
68859,12,N/A,1.9,N/A
67555,13,N/A,2.0,N/A
60621,32,N/A,2.0,N/A
64832,N/A,N/A,2.0,N/A
62299,20,N/A,2,N/A
18071,N/A,N/A,N/A,N/A
72334,32,N/A,N/A,N/A
72749,12,N/A,2.2,N/A
72333,32,N/A,2.2,N/A
36485,12,N/A,2.2,N/A
18388,12,N/A,2.2,N/A
24746,12,N/A,2.2,N/A
60617,32,N/A,N/A,N/A
88564,0,N/A,2.0,N/A
72748,12,N/A,2.2,N/A
72328,8,N/A,2.0,N/A
69512,8,N/A,N/A,N/A
72750,12,N/A,2.2,N/A
90478,8,N/A,N/A,N/A
86450,8,N/A,N/A,N/A
88446,8,N/A,N/A,N/A
42973,40,N/A,2.2,N/A
60880,32,N/A,2.2,N/A
72337,50,N/A,N/A,N/A
82915,N/A,N/A,N/A,N/A
72331,32,N/A,N/A,N/A
73016,8,N/A,2.05,N/A
27473,12,N/A,2.2,N/A
75815,32,N/A,2.2,N/A
83041,12,N/A,N/A,N/A
84107,10,N/A,N/A,N/A
68864,12,N/A,1.9,N/A
44936,13,N/A,2.45,N/A
65136,N/A,N/A,N/A,N/A
72211,8,N/A,2.0,80
73942,32,N/A,2.4,N/A
42337,32,N/A,2.4,90
75812,32,N/A,2.2,N/A
64877,8,N/A,N/A,N/A
33487,12,N/A,2.2,N/A
60401,8,N/A,N/A,N/A
71982,8,N/A,2.0,N/A
59595,13,N/A,2.0,N/A
64927,8,N/A,2.0,N/A
84613,10,4,2.2,N/A
51999,12,N/A,1.9,N/A
74864,0,N/A,N/A,N/A
65137,N/A,N/A,N/A,N/A
72330,8,N/A,2.0,N/A
91445,5,N/A,2.2,N/A
89225,8,N/A,N/A,N/A
73650,5,N/A,N/A,N/A
83040,8,N/A,N/A,N/A
74179,N/A,N/A,2.22,N/A
39411,20,N/A,N/A,N/A
62717,5,N/A,2.2,N/A
86449,N/A,N/A,N/A,N/A
58610,32,N/A,2.4,N/A
35033,16,N/A,2.45,N/A
67726,50,N/A,2.0,N/A
61508,16,N/A,2.4,N/A
79120,5,N/A,N/A,N/A
78051,N/A,N/A,N/A,N/A
87123,5,N/A,N/A,N/A
90117,12,N/A,1.9,N/A
82889,50,N/A,N/A,N/A
77301,32,N/A,2.2,N/A
73771,8,N/A,N/A,N/A
90115,12,N/A,1.9,N/A
59734,20,32,2.2,N/A
29796,20,N/A,2.5,N/A
36486,12,N/A,2.2,N/A
84612,10,4,2.2,N/A
65638,13,N/A,2.45,N/A
90120,12,N/A,1.9,N/A
63068,16,N/A,2.45,N/A
33626,16,N/A,2.4,N/A
78197,5,N/A,2.2,N/A
90306,N/A,N/A,N/A,N/A
88459,5,N/A,N/A,N/A
56698,8,N/A,N/A,N/A
84614,0,N/A,2.2,N/A
79220,32,N/A,2.0,N/A
64928,8,N/A,2.0,N/A
51797,8,N/A,2.0,N/A
42153,32,N/A,2.2,N/A
58855,8,N/A,N/A,N/A
90677,N/A,N/A,N/A,N/A
90112,12,N/A,1.9,N/A
66832,8,N/A,2.0,N/A
60927,8,N/A,2.0,N/A
55753,8,N/A,N/A,N/A
86448,N/A,N/A,N/A,N/A
50676,32,N/A,2.0,N/A
90114,12,N/A,1.9,N/A
25863,12,N/A,2.2,N/A
59593,12,N/A,2.0,N/A
54152,8,N/A,2.0,N/A
68168,8,N/A,2.0,N/A
62088,8,N/A,2.0,N/A
79064,2,N/A,N/A,N/A
17018,32,N/A,2.4,N/A
83931,8,N/A,N/A,N/A
59736,32,N/A,2.4,90
41145,16,N/A,2.4,N/A
49374,16,N/A,2.4,79
90119,12,N/A,1.9,N/A
90675,8,N/A,N/A,N/A
33644,13,N/A,2.2,N/A
85820,5,N/A,N/A,N/A
80254,8,N/A,2.0,N/A
86542,5,N/A,N/A,N/A
44939,32,N/A,2.4,N/A
90676,N/A,N/A,N/A,N/A
64828,5,N/A,N/A,N/A
63898,32,N/A,2.5,N/A
53189,5,N/A,2.2,76.8
79802,16,N/A,N/A,N/A
39195,32,N/A,2.4,N/A
52293,5,N/A,N/A,N/A
48952,10,N/A,2.4,N/A
64066,5,N/A,2.2,N/A
79801,8,N/A,N/A,N/A
82236,16,N/A,2.45,N/A
72735,N/A,N/A,2.22,N/A
74388,5,N/A,N/A,N/A
92113,12,N/A,1.9,N/A
36639,20,N/A,2.24,N/A
90113,12,N/A,1.9,N/A
