product_id,video_resolution_1 (pixels),video_fps_1 (fps),video_resolution_2 (pixels),video_fps_1 (fps),video_resolution_3 (pixels),video_fps_1 (fps)
59254,8294400.0,24 ,8294400.0,30 ,2073600.0,25
76439,N/A,N/A,N/A,N/A,N/A,N/A
59294,33177600.0,30,2073600.0,240,N/A,N/A
59257,8294400.0,24 ,921600.0,N/A,N/A,N/A
59258,8294400.0,24 ,8294400.0,30 ,8294400.0,100 
65919,33177600.0,30,N/A,120,N/A,N/A
43151,8294400.0,60 ,921600.0,30 ,N/A,N/A
74613,33177600.0,30,N/A,120,N/A,N/A
53706,2073600.0,30,N/A,N/A,N/A,N/A
76443,N/A,N/A,N/A,N/A,N/A,N/A
36242,8294400.0,30,2073600.0,24,N/A,60
43152,921600.0,30,2073600.0,30,N/A,30
45053,8294400.0,60,8294400.0,60,N/A,N/A
82082,N/A,N/A,N/A,N/A,N/A,N/A
65920,8294400.0,60,N/A,120,N/A,N/A
57499,33177600.0,30,2073600.0,240,N/A,N/A
43150,8294400.0,60 ,921600.0,30 ,N/A,N/A
67006,8294400.0,60 ,921600.0,30 ,N/A,N/A
57497,921600.0,30,8294400.0,60,33177600.0,30
66374,921600.0,30,N/A,N/A,N/A,N/A
73651,8294400.0,24,921600.0,30,N/A,30
72332,2073600.0,30,921600.0,30,N/A,N/A
85247,2073600.0,30,N/A,N/A,N/A,N/A
87242,N/A,N/A,N/A,N/A,N/A,N/A
67378,921600.0,30,2073600.0,30,N/A,30
77853,2073600.0,30,N/A,N/A,N/A,N/A
72303,2073600.0,30,N/A,N/A,N/A,N/A
82062,2073600.0,30,N/A,N/A,N/A,N/A
52291,2073600.0,30,N/A,N/A,N/A,N/A
80473,8294400.0,30,N/A,N/A,N/A,N/A
16520,8294400.0,24 ,N/A,60 ,N/A,N/A
51996,8294400.0,60,8294400.0,60,N/A,N/A
57154,8294400.0,60,N/A,N/A,N/A,N/A
53193,8294400.0,30,N/A,N/A,N/A,N/A
59255,8294400.0,24 ,8294400.0,30 ,2073600.0,25
68861,8294400.0,60 ,921600.0,30 ,N/A,N/A
90116,8294400.0,24 ,8294400.0,30 ,8294400.0,100 
82256,N/A,60,N/A,N/A,N/A,N/A
83012,N/A,N/A,N/A,N/A,N/A,N/A
56076,33177600.0,24,8294400.0,30,2073600.0,N/A
31495,8294400.0,24,921600.0,30,N/A,24
58612,8294400.0,60,N/A,N/A,N/A,N/A
59293,33177600.0,30,2073600.0,240,N/A,N/A
66467,8294400.0,60,N/A,N/A,N/A,N/A
83010,N/A,N/A,N/A,N/A,N/A,N/A
68863,8294400.0,60 ,921600.0,30 ,N/A,N/A
53270,2073600.0,30,N/A,N/A,N/A,N/A
