product_name,price_sale,price,percent_discount,promotion,screen_size,ram,rom,rating_count,rate_average,outstanding_feature
Samsung Galaxy S24 Plus 12GB 512GB,24.790.000đ,30.490.000đ,Giảm 19%,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng,N/A,N/A,N/A,null,null," Mở ra Kỷ nguyên Điện thoại AI Cao cấp -Hỗ trợ Phiên dịch cuộc gọi, trợ lí chỉnh ảnh, khoanh vùng để tìm kiếm |  Chụp ảnh bất kể không gian và thời gian - Camera 50MP với với công nghệ ProVisual, chụp đêm và siêu thu phóng |  Pin tối ưu thông minh cho cả ngày tràn đầy năng lượng - Viên pin 4900 mAh cho phép bạn xem video liên tục đến 29 giờ |  Nâng cấp màn hình trải nghiệm tuyệt đỉnh - Màn hình 6.7"" inch Dynamic AMOLED 2X cùng tần số quét 120Hz"
Samsung Galaxy S23 FE 8GB 256GB,12.390.000đ,16.890.000đ,Giảm 27%,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng,N/A,N/A,N/A,4,5/5," Galaxy AI tiện ích - Khoanh vùng search đa năng, là trợ lý chỉnh ảnh, chat thông minh, phiên dịch trực tiếp |  Giải trí với khung hình và âm thanh sống động - Màn hình Dynamic AMOLED 2X, 120Hz cùng công nghệ âm thanh nổi |  Chụp ảnh chuyên nghiệp trong bất kì hoàn cảnh nào - Camera 50MP chụp đêm sống động và ổn định |  Hiệu suất cải tiến vượt bậc - Vi xử lý Exynos 2200 tiến trình 4nm mạnh mẽ |  Năng lượng cho cả ngày - Viên pin 4500mAh cùng sạc nhanh đến 25W thần tốc"
Điện thoại Tecno Camon 30 12GB/256GB,6.190.000đ,6.990.000đ,Giảm 11%,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng,N/A,N/A,N/A,null,null,"Nâng tầm nhiếp ảnh chân dung với camera 50MP sắc nét, lưu giữ mọi khoảnh khắc đáng nhớ. | Trải nghiệm màn hình lớn mãn nhãn 6.78 inches, hiệu năng mạnh mẽ với chip Helio G99 Ultimate(6nm). | Thiết kế cổ điển cùng dung lượng pin 5000 mAh, sạc nhanh 70W giúp tăng thời lượng sử dụng."
TECNO SPARK 20PRO+,4.890.000đ,5.490.000đ,Giảm 11%,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng,N/A,N/A,N/A,15,5/5,Camera selfie 32MP tuyệt đẹp - Ghi lại mọi khoảnh khắc tỏa sáng của bạn. | Yên tâm sử dụng với khả năng chống nước và bụi cấp độ IP53. | Trải nghiệm hiệu năng vô song với bộ xử lý Mediatek Helio G99 mạnh mẽ nhất. | Thiết kế cong đôi công thái học - Sự kết hợp hoàn hảo giữa kiểu dáng đẹp và sự thoải mái.
OPPO Reno10 Pro+ 5G 12GB 256GB,14.390.000đ,19.990.000đ,Giảm 28%,,N/A,N/A,N/A,1,5/5,"Trải nghiệm hình ảnh sống động, rực rỡ và sắc nét với tấm nền AMOLED 6.74 inch cùng tần số quét 120Hz mượt mà. | Hiệu năng mạnh mẽ cho khả năng xử lý đa nhiệm mượt mà, chơi game cấu hình cao. | Chụp ảnh chuyên nghiệp, sắc nét và ấn tượng với camera sau AI 50MP (chính) & Phụ 64 MP, 8 MP | Sử dụng thoải mái cả ngày dài với pin dung lượng cao 4700mAh, hỗ trợ sạc nhanh SuperVOOC 100W."
TECNO SPARK Go 2024 4GB 64GB,1.950.000đ,2.190.000đ,Giảm 11%,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng,N/A,N/A,N/A,2,5/5,"Hiệu năng ổn định, đáp ứng tốt nhu cầu cơ bản với Unisoc T606. | Camera chính 13MP chụp ảnh sắc nét, màu sắc chân thực. | Pin trâu 5.000 mAh - Sử dụng cả ngày dài mà không lo hết pin. | Thiết kế vuông vức sang trọng, trẻ trung, phù hợp mọi đối tượng."
TECNO SPARK 20 8GB 128GB,3.050.000đ,3.490.000đ,Giảm 13%,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng,N/A,N/A,N/A,7,5/5,"Vi xử lý MediaTek Helio G85 thoải mái trải nghiệm. | Nâng tầm trải nghiệm nhiếp ảnh với cụm camera 50MP. | Kích thước lên tới 6.56 inch cùng tấm nền LCD hiện đại cho chất lượng hiển thị rõ ràng, chân thực trong từng khung hình. | Viên pin 5000 mAh, cung cấp trải nghiệm sử dụng suốt ngày dài."
Samsung Galaxy S24 Plus 12GB 256GB,20.490.000đ,26.990.000đ,Giảm 24%,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng,N/A,N/A,N/A,2,5/5," Mở ra Kỷ nguyên Điện thoại AI Cao cấp -Hỗ trợ Phiên dịch cuộc gọi, trợ lí chỉnh ảnh, khoanh vùng để tìm kiếm |  Chụp ảnh bất kể không gian và thời gian - Camera 50MP với với công nghệ ProVisual, chụp đêm và siêu thu phóng |  Pin tối ưu thông minh cho cả ngày tràn đầy năng lượng - Viên pin 4900 mAh cho phép bạn xem video liên tục đến 29 giờ |  Nâng cấp màn hình trải nghiệm tuyệt đỉnh - Màn hình 6.7"" inch Dynamic AMOLED 2X cùng tần số quét 120Hz"
Samsung Galaxy S23 FE 5G 8GB 128GB,10.890.000đ,14.890.000đ,Giảm 27%,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng,N/A,N/A,N/A,2,5/5," Galaxy AI tiện ích - Khoanh vùng search đa năng, là trợ lý chỉnh ảnh, chat thông minh, phiên dịch trực tiếp |  Giải trí với khung hình và âm thanh sống động - Màn hình Dynamic AMOLED 2X, 120Hz cùng công nghệ âm thanh nổi |  Chụp ảnh chuyên nghiệp trong bất kì hoàn cảnh nào - Camera 50MP chụp đêm sống động và ổn định |  Hiệu suất cải tiến vượt bậc - Vi xử lý Exynos 2200 tiến trình 4nm mạnh mẽ |  Năng lượng cho cả ngày - Viên pin 4500mAh cùng sạc nhanh đến 25W thần tốc"
Điện thoại Tecno Camon 30 8GB/256GB,5.690.000đ,6.490.000đ,Giảm 12%,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng,N/A,N/A,N/A,3,5/5,"Nâng tầm nhiếp ảnh chân dung với camera 50MP sắc nét, lưu giữ mọi khoảnh khắc đáng nhớ. | Trải nghiệm màn hình lớn mãn nhãn 6.78 inches, hiệu năng mạnh mẽ với chip Helio G99 Ultimate(6nm). | Thiết kế cổ điển cùng dung lượng pin 5000 mAh, sạc nhanh 70W giúp tăng thời lượng sử dụng."
